episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual,infrastructure_loop_speed,infrastructure_automation,infrastructure_error_tolerance
0,13.0,0.995,0.5,BALANCED,0.0,0.0,0.0,0.0,False,none,0.0,0.0,stable,0.0005,0.5,0.7,0.1
10,23.0,0.946354579813443,0.5,BALANCED,0.0,0.0,1.0,0.0,True,draw,0.0,0.7622682250979871,stable,0.00054,0.5,0.7,0.1
20,21.0,0.9000874278732445,0.49053206459161885,BALANCED,0.25,0.25,0.5,0.009999999999999995,True,win,2.0,0.7955985106931418,stable,0.00053376761645811,0.5,0.7,0.1
30,23.0,0.8560822709551227,0.4999335323567914,BALANCED,0.3333333333333333,0.16666666666666666,0.5,0.09809999999999998,True,draw,1.0,0.7584165957599146,stable,0.0005399784644836004,0.5,0.7,0.1
40,41.0,0.8142285204175609,0.48799767479034767,BALANCED,0.375,0.25,0.375,0.08946099999999998,True,win,2.0,0.7035294474975151,ascending,0.0005330146341750157,0.5,0.7,0.1
50,30.0,0.7744209942832988,0.4696277656002798,BALANCED,0.3,0.4,0.3,-0.11753658999999997,True,loss,-3.0,0.7063228695917414,ascending,0.0005331039735042449,0.5,0.7,0.1
60,34.0,0.736559652908221,0.427516887479349,ADAPTIVE,0.25,0.5,0.25,-0.28520463789999995,True,decisive_loss,-43.0,0.6849114457392347,ascending,0.0005236217801857517,0.5,0.7,0.1
70,14.0,0.7005493475733617,0.4696412740935712,BALANCED,0.35714285714285715,0.42857142857142855,0.21428571428571427,-0.04101575669899998,True,decisive_win,71.0,0.6702783061053478,ascending,0.0005230770495164215,0.5,0.7,0.1
80,16.0,0.6662995813682115,0.4900573809660519,BALANCED,0.375,0.375,0.25,0.05677723707380999,True,draw,-6.0,0.6724478785915267,ascending,0.0005367785914330008,0.5,0.7,0.1
90,15.0,0.6337242817644086,0.4619994901441623,BALANCED,0.3333333333333333,0.4444444444444444,0.2222222222222222,-0.14401043797021387,True,decisive_loss,-36.0,0.6405402208572767,ascending,0.0005337556763891337,0.5,0.7,0.1
100,75.0,0.6027415843082742,0.48175021604188234,BALANCED,0.35,0.4,0.25,-0.01664845475587326,True,decisive_win,30.0,0.6176782462477647,ascending,0.0005276878348067086,0.5,0.7,0.1
110,130.0,0.5732736268885887,0.520044082740456,BALANCED,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.1765147516477426,True,decisive_win,19.0,0.5589074776098981,ascending,0.0005405191052794088,0.5,0.7,0.1
120,115.0,0.5452463540625918,0.5421093516380183,ADAPTIVE,0.4166666666666667,0.3333333333333333,0.25,0.2429769488346715,True,decisive_win,114.0,0.5333599256283734,ascending,0.0005464942828079076,0.5,0.7,0.1
130,117.0,0.5185893309484582,0.5324992720715079,BALANCED,0.38461538461538464,0.34615384615384615,0.2692307692307692,0.10681132855608394,True,draw,1.0,0.5176316523424022,ascending,0.0005505297641511686,0.5,0.7,0.1
140,22.0,0.4932355662165453,0.5321858352171279,BALANCED,0.39285714285714285,0.35714285714285715,0.25,0.076517176130428,True,loss,-28.0,0.5143492620141668,ascending,0.0005534651320821383,0.5,0.7,0.1
150,170.0,0.46912134373457726,0.5436493712119296,BALANCED,0.4,0.36666666666666664,0.23333333333333334,0.051978912665646665,True,loss,-16.0,0.5091018100816087,ascending,0.0005570691990073283,0.5,0.7,0.1
160,148.0,0.446186062443672,0.5253752309031398,BALANCED,0.375,0.40625,0.21875,-0.14789708074082616,True,loss,-12.0,0.5136227086424653,ascending,0.0005511048801936273,0.5,0.7,0.1
170,195.0,0.42437208406280985,0.5439112312380474,BALANCED,0.4117647058823529,0.38235294117647056,0.20588235294117646,0.07020336459993076,True,win,23.0,0.5108918186806499,ascending,0.0005511651543655176,0.5,0.7,0.1
180,180.0,0.4036245882390106,0.5726710587588144,ADAPTIVE,0.4444444444444444,0.3611111111111111,0.19444444444444445,0.2468647253259439,True,win,16.0,0.5160234267161008,ascending,0.0005605936044643455,0.5,0.7,0.1
190,48.0,0.38389143477919885,0.5909677088005714,ADAPTIVE,0.47368421052631576,0.34210526315789475,0.18421052631578946,0.38996042751401455,True,win,15.0,0.5205048260909537,ascending,0.0005665434077909398,0.5,0.7,0.1
200,191.0,0.36512303261753626,0.6216002484065021,CONFIDENT,0.5,0.325,0.175,0.5058679462863518,True,win,16.0,0.5221917414789061,ascending,0.000576467114152979,0.5,0.7,0.1
210,26.0,0.3472722151889232,0.6216717968855284,CONFIDENT,0.5,0.3333333333333333,0.16666666666666666,0.41975303649194495,True,win,29.0,0.5250885576679105,ascending,0.0005763250497338543,0.5,0.7,0.1
220,158.0,0.3302941218954743,0.6126045973658591,CONFIDENT,0.4772727272727273,0.3409090909090909,0.18181818181818182,0.23999995955847542,True,loss,-18.0,0.5304446467435874,ascending,0.0005794216621909111,0.5,0.7,0.1
230,153.0,0.3141460853680822,0.6309690513646246,CONFIDENT,0.5,0.32608695652173914,0.17391304347826086,0.384399967242365,True,win,8.0,0.5360370524466643,ascending,0.0005795876008488474,0.5,0.7,0.1
240,15.0,0.2987875242397482,0.6399260106326149,CONFIDENT,0.5,0.3125,0.1875,0.4013639734663157,True,draw,12.0,0.5385964019983744,ascending,0.0005853360274449672,0.5,0.7,0.1
250,12.0,0.28417984116121187,0.6306278576256357,CONFIDENT,0.5,0.32,0.18,0.33510481850771573,True,win,27.0,0.5399610219394378,ascending,0.0005792289535268047,0.5,0.7,0.1
260,155.0,0.2702863258025825,0.6493035953465126,CONFIDENT,0.5192307692307693,0.3076923076923077,0.17307692307692307,0.46143490299124973,True,win,18.0,0.5409102175931173,ascending,0.0005853780826500084,0.5,0.7,0.1
270,236.0,0.2570720625972084,0.6868643090137485,CONFIDENT,0.5370370370370371,0.2962962962962963,0.16666666666666666,0.5637622714229122,True,decisive_win,50.0,0.5443929061071551,ascending,0.0005943116525785645,0.5,0.7,0.1
280,63.0,0.24450384299593592,0.6573771922834608,CONFIDENT,0.5178571428571429,0.32142857142857145,0.16071428571428573,0.266647439852559,True,decisive_loss,-69.0,0.5455642189805598,ascending,0.0005974509134862751,0.5,0.7,0.1
290,234.0,0.23255008201124722,0.6665074909759701,CONFIDENT,0.5172413793103449,0.3103448275862069,0.1724137931034483,0.31598442628057277,True,win,18.0,0.5476258644287882,ascending,0.0005909902102998412,0.5,0.7,0.1
