episode,return,td_error,epsilon,psa_stability,psa_trend,psa_anomaly_count
0,9.0,0.0,1.0,0.0,stable,0
10,14.0,1.3867599155221666,0.4506816115185697,0.6560363633348502,descending,0
20,195.0,1.655964822646899,0.04084374120782771,0.43769343634063307,ascending,2
30,80.0,2.588715022802353,0.01,0.5218222837525823,ascending,2
40,362.0,2.6925379498887456,0.01,0.49921758872975874,ascending,4
50,226.0,1.5103961751524326,0.01,0.536860704635368,ascending,4
60,346.0,1.270211760191559,0.01,0.5260159699961742,ascending,5
70,328.0,0.8536464906320339,0.01,0.5518828766393218,ascending,5
80,500.0,0.7319514075517655,0.01,0.558232090826743,ascending,5
90,310.0,0.7847042320236083,0.01,0.5717178188047957,ascending,5
100,500.0,0.7627996176481247,0.01,0.5869299635519435,ascending,5
110,205.0,1.0685248233923097,0.01,0.5983255633523579,ascending,5
120,500.0,0.8486605334281921,0.01,0.6109276042679865,ascending,5
130,11.0,8.475075114857066,0.01,0.605569628218219,ascending,5
140,500.0,1.43196486890316,0.01,0.5947072622457352,ascending,5
150,500.0,1.2058919990062713,0.01,0.6051335847514969,ascending,5
160,127.0,0.8118117240470225,0.01,0.61207828954874,ascending,5
170,500.0,1.4655182790756225,0.01,0.6107993915325186,ascending,5
180,500.0,2.496164262533188,0.01,0.6179032061719111,ascending,5
190,243.0,1.638930542478836,0.01,0.623868922689695,ascending,5
200,143.0,3.8481316099633704,0.01,0.6274614037266876,ascending,5
210,297.0,3.1151315250782052,0.01,0.6232026862096103,ascending,5
220,500.0,4.777544589042663,0.01,0.6073660199224216,ascending,5
230,500.0,4.22254296207428,0.01,0.6134673461863577,ascending,5
240,11.0,15.928088534962047,0.01,0.5992766294417723,ascending,5
250,500.0,4.537578589439392,0.01,0.5956557472554221,stable,5
260,500.0,2.1580446441173553,0.01,0.6017348431063846,ascending,5
270,329.0,1.7974448459489005,0.01,0.6068845079390985,ascending,5
280,500.0,1.6740152637958527,0.01,0.609691882948101,ascending,5
290,500.0,1.704800689458847,0.01,0.6140617435044592,ascending,5
300,251.0,2.090656303789511,0.01,0.6175363545767724,ascending,5
310,500.0,1.3023934092521667,0.01,0.6217530760940831,ascending,5
320,500.0,1.156269703745842,0.01,0.6256551128930591,ascending,5
330,500.0,1.0402214913964272,0.01,0.630005648956894,ascending,5
340,500.0,1.1345704426765442,0.01,0.633184223567577,ascending,5
350,500.0,1.0985355017185212,0.01,0.6372527877640728,ascending,5
360,500.0,1.0627454862594605,0.01,0.6409703610843976,ascending,5
370,500.0,1.3010444608926772,0.01,0.6442040866261859,ascending,5
380,500.0,2.4504660189151766,0.01,0.6478809518417462,ascending,5
390,500.0,1.923805499792099,0.01,0.6514159503870424,ascending,5
400,12.0,6.665479461352031,0.01,0.6504107191590495,ascending,8
410,9.0,12.760563373565674,0.01,0.6389916397478114,ascending,12
420,173.0,5.2307763251266035,0.01,0.6335030705951661,ascending,12
430,284.0,2.7552038628450584,0.01,0.6315117934029244,ascending,12
440,500.0,2.1400759646892547,0.01,0.6337800905746236,ascending,12
450,500.0,1.7255688606500625,0.01,0.6368520683292671,ascending,12
460,500.0,1.7905932123661041,0.01,0.6397981030097856,ascending,12
470,500.0,3.280540352344513,0.01,0.6388797271631875,ascending,12
480,500.0,2.8624592969417573,0.01,0.6418749503995235,ascending,12
490,9.0,5.990018871095446,0.01,0.637201957693031,ascending,12
